rule_id,cwe_id,is_string_concat,is_parameterized_query,has_sanitizer_nearby,in_test_file,is_in_vendor_or_generated_dir,taint_source_distance,function_complexity,code_snippet_length,variable_name_entropy,is_user_input_direct,has_type_validation,is_third_party_lib_call,same_finding_seen_before_count,developer_dismissed_similar_before,file_change_frequency,is_authenticated_endpoint,label
insecure-deserialize,CWE-502,0,0,1,0,0,5,24,72,3.53,0,1,0,1,0,32,0,0
ssrf-request,CWE-918,0,1,0,0,0,9,26,23,3.78,1,1,0,3,1,21,0,0
sqli-concat,CWE-89,1,0,0,0,0,12,20,155,3.92,0,1,0,4,1,39,1,0
ssrf-request,CWE-918,0,0,0,0,0,10,3,139,4.1,1,1,0,5,0,17,0,1
ssrf-request,CWE-918,0,0,0,0,0,9,30,347,3.56,1,0,0,0,1,25,1,1
sqli-concat,CWE-89,0,1,0,0,0,13,29,349,2.88,0,1,0,6,1,25,1,0
xss-unescaped,CWE-79,0,1,0,0,0,4,5,341,1.98,0,1,0,7,0,35,0,0
insecure-deserialize,CWE-502,0,1,1,0,0,14,6,252,1.51,1,0,0,1,1,19,0,0
xss-unescaped,CWE-79,1,0,0,0,0,17,30,20,3.3,0,1,1,4,0,15,0,0
sqli-concat,CWE-89,1,0,0,1,0,18,25,84,1.89,0,1,0,9,0,13,0,0
insecure-deserialize,CWE-502,1,0,1,1,0,12,15,284,2.85,0,1,0,8,0,14,0,0
sqli-concat,CWE-89,0,0,0,1,0,11,3,283,2.21,0,0,0,9,0,15,1,0
path-traversal,CWE-22,0,0,0,0,0,12,14,230,2.9,0,0,0,5,1,6,0,0
xss-unescaped,CWE-79,0,1,0,0,0,9,15,147,4.12,0,0,0,8,1,5,0,0
xss-unescaped,CWE-79,1,0,1,0,0,13,29,50,1.99,1,1,1,7,0,44,1,0
xss-unescaped,CWE-79,0,1,0,1,0,19,24,297,1.68,0,1,0,8,0,32,0,0
xss-unescaped,CWE-79,0,0,0,0,0,19,8,316,3.28,1,1,1,3,0,20,0,0
hardcoded-secret,CWE-798,1,0,0,0,1,10,15,181,4.29,0,1,0,9,1,4,0,0
ssrf-request,CWE-918,1,0,0,1,0,3,29,145,2.61,1,0,0,8,0,42,0,1
xss-unescaped,CWE-79,1,0,0,1,0,18,5,159,2.35,1,0,0,4,0,16,0,0
sqli-concat,CWE-89,1,0,1,0,0,11,25,86,3.41,1,1,0,1,0,44,0,1
ssrf-request,CWE-918,0,1,0,0,0,2,10,206,4.2,0,1,0,3,0,22,1,0
ssrf-request,CWE-918,0,0,0,1,0,6,29,231,1.57,1,1,1,3,0,50,0,0
path-traversal,CWE-22,0,1,0,0,0,15,12,176,3.96,0,0,0,6,0,4,1,0
hardcoded-secret,CWE-798,1,0,1,1,1,4,29,153,2.04,1,0,0,6,0,50,1,0
path-traversal,CWE-22,0,1,0,0,0,14,1,286,4.28,0,1,0,10,1,39,1,0
insecure-deserialize,CWE-502,0,1,1,0,0,11,13,376,2.39,1,1,0,2,0,19,1,0
ssrf-request,CWE-918,0,1,1,0,0,19,20,355,2.47,0,1,1,2,0,18,1,0
sqli-concat,CWE-89,0,1,0,0,0,5,1,43,2.23,0,1,0,10,0,45,1,0
path-traversal,CWE-22,1,0,0,0,0,1,29,74,3.84,1,0,0,1,0,29,1,1
path-traversal,CWE-22,1,0,1,1,0,16,15,152,3.76,1,1,0,4,0,45,1,0
xss-unescaped,CWE-79,1,0,1,0,0,18,3,90,1.95,0,0,0,6,0,29,1,1
sqli-concat,CWE-89,0,1,1,1,0,19,23,30,4.07,1,1,0,5,0,24,1,0
ssrf-request,CWE-918,0,1,0,0,0,16,1,219,2.51,1,0,1,2,1,34,0,0
path-traversal,CWE-22,0,0,1,0,0,15,6,45,2.28,1,1,0,6,0,26,1,0
sqli-concat,CWE-89,1,0,0,0,0,2,12,134,3.45,0,0,1,3,1,39,0,1
xss-unescaped,CWE-79,0,1,0,0,0,7,15,378,2.27,0,0,1,1,0,19,1,0
path-traversal,CWE-22,0,0,0,0,0,10,28,370,3.3,0,1,0,10,0,32,1,0
sqli-concat,CWE-89,1,0,1,0,0,12,21,255,3.62,1,1,0,9,0,15,0,0
hardcoded-secret,CWE-798,1,0,0,0,0,19,20,362,2.64,1,0,0,5,1,21,1,1
ssrf-request,CWE-918,1,0,0,0,0,7,3,143,3.66,0,1,0,7,0,1,0,1
hardcoded-secret,CWE-798,0,1,0,0,0,19,12,262,3.16,1,1,0,4,0,14,0,0
insecure-deserialize,CWE-502,0,1,0,0,0,6,7,130,3.72,1,0,1,4,0,11,1,0
sqli-concat,CWE-89,0,1,0,1,0,18,10,377,4.33,1,0,1,9,0,30,1,0
hardcoded-secret,CWE-798,0,0,1,1,0,16,4,53,2.7,0,0,0,9,1,5,0,0
sqli-concat,CWE-89,1,0,0,0,0,13,15,246,2.39,1,1,0,0,0,47,0,1
xss-unescaped,CWE-79,0,1,0,0,0,6,18,58,1.97,1,1,0,4,1,44,1,0
sqli-concat,CWE-89,0,1,0,0,0,18,8,351,1.95,0,0,0,4,0,36,1,0
path-traversal,CWE-22,0,1,1,0,0,9,17,296,2.98,0,1,0,9,0,5,0,0
insecure-deserialize,CWE-502,0,1,0,0,1,6,16,285,3.45,0,1,0,7,1,30,1,0
path-traversal,CWE-22,1,0,1,0,0,6,11,230,3.58,1,0,0,5,0,7,1,1
ssrf-request,CWE-918,0,1,1,0,0,17,12,338,3.77,0,0,0,2,1,28,1,0
sqli-concat,CWE-89,0,0,0,0,1,1,18,228,1.78,0,1,1,10,1,31,1,0
ssrf-request,CWE-918,1,0,1,0,0,16,8,253,3.15,0,0,0,6,0,50,1,0
sqli-concat,CWE-89,1,0,1,0,0,19,22,270,4.1,1,1,0,8,0,20,0,1
insecure-deserialize,CWE-502,0,1,0,1,0,14,2,182,3.73,1,1,1,10,1,31,0,0
xss-unescaped,CWE-79,1,0,0,1,0,15,4,289,4.23,0,1,1,2,0,50,1,0
hardcoded-secret,CWE-798,1,0,0,1,0,18,13,182,3.38,1,0,0,3,0,18,0,1
insecure-deserialize,CWE-502,0,1,0,0,1,4,15,105,3.58,0,1,1,4,0,27,0,0
xss-unescaped,CWE-79,1,0,0,0,0,3,20,215,3.36,0,0,0,4,0,42,0,1
path-traversal,CWE-22,1,0,0,0,0,12,19,173,3.42,1,1,1,3,1,30,0,1
